label4,realdata,WT1,WT2,WT3,KO1,KO2,KO3,realcv,cvKO,cvWT,Max CV,Min CV,1/Max CV,1/Min CV
ICR1,0.002630448,3646.57312,4019.110202,4137.667086,3793.536688,3970.038472,4061.315785,0.06513217,0.06513217,0.034536752,0.06513217,0.034536752,15.35339604,28.95466257
IRT1,-0.061235143,1760.300297,2013.854125,2086.8234,1871.973986,1751.373976,1994.066438,0.087723751,0.087723751,0.064805792,0.087723751,0.064805792,11.3994214,15.4307196
LSR1,0.011810776,1949654.408,2401455.126,2193182.518,2143501.763,2296156.519,2158429.21,0.103661099,0.103661099,0.03826459,0.103661099,0.03826459,9.646820387,26.13382249
MSTRG.10.1,0.327721125,18.2328656,4.776693846,48.31561566,31.46976136,31.86071731,26.1847108,0.937633601,0.937633601,0.106246226,0.937633601,0.106246226,1.06651468,9.412099003
MSTRG.1001.1,0.023151009,500.5750374,417.4830421,453.3443937,452.0202086,507.8405243,433.7262353,0.091166743,0.091166743,0.083112324,0.091166743,0.083112324,10.96891221,12.03190991
MSTRG.1006.1,0.088136981,668.8146609,656.3177344,707.2583739,718.0827365,727.9691166,714.3726228,0.039188565,0.039188565,0.009759414,0.039188565,0.009759414,25.51764767,102.4651705
MSTRG.1009.1,-0.022503887,146.6916914,156.6755581,117.1910678,131.6008202,113.9262013,168.5221131,0.201842979,0.14645119,0.201842979,0.201842979,0.14645119,4.954346221,6.828213559
MSTRG.1021.1,0.666694503,43.92463076,41.07956707,34.95172197,48.63508574,106.202391,35.58435057,0.591973114,0.114678309,0.591973114,0.591973114,0.114678309,1.689265907,8.720044836
MSTRG.1022.1,-0.135054877,180.6711228,184.3803824,210.7383236,188.8185682,191.1643038,144.3516108,0.150912763,0.08541544,0.150912763,0.150912763,0.08541544,6.626344802,11.70748522
MSTRG.1028.1,-0.097783893,213.8217875,243.6113861,237.466111,222.1955878,198.8881141,228.2769659,0.07166913,0.067900915,0.07166913,0.07166913,0.067900915,13.95300875,14.72734194
MSTRG.1033.1,-0.04973524,5923.19502,6522.097777,6069.26372,6120.39177,5743.618402,6023.154887,0.050598736,0.050598736,0.032805479,0.050598736,0.032805479,19.76333955,30.48271283
MSTRG.1043.1,-0.167174724,716.0543581,709.8167055,821.3654662,645.6069224,657.4893481,698.2589547,0.083675696,0.083675696,0.041394722,0.083675696,0.041394722,11.95090152,24.15766913
MSTRG.1046.1,-0.090396631,179.0135895,186.29106,250.8300047,159.2560651,237.5071654,181.9501699,0.208700386,0.192475279,0.208700386,0.208700386,0.192475279,4.791557978,5.195472392
MSTRG.105.1,0.045199155,29.00683164,27.70482431,33.92373014,33.37701962,29.92976474,30.21312785,0.108563087,0.108563087,0.061389884,0.108563087,0.061389884,9.211234036,16.28932879
MSTRG.1054.1,0.474293393,261.0614847,197.7551252,212.7943073,287.9959979,307.986934,337.0442262,0.147740202,0.147740202,0.079301149,0.147740202,0.079301149,6.768638351,12.61015779
MSTRG.1059.1,-0.207421334,228.7395866,217.8172394,235.4101274,198.3548595,174.751207,217.5345205,0.108846624,0.039070786,0.108846624,0.108846624,0.039070786,9.187239482,25.59457054
MSTRG.1065.1,-0.029102516,33.97943135,23.88346923,53.45557477,40.05242355,41.51548013,27.52751648,0.405106745,0.405106745,0.211424639,0.405106745,0.211424639,2.468485189,4.729817696
MSTRG.1069.1,0.074021472,93.65062786,115.5959911,104.8551659,126.8326746,100.4095333,103.3960375,0.131296342,0.104808365,0.131296342,0.131296342,0.104808365,7.6163584,9.541223207
MSTRG.108.1,-0.038660116,454.1641068,454.7412541,528.3877968,454.881096,473.0833782,471.3247944,0.089099641,0.089099641,0.021525237,0.089099641,0.021525237,11.22338979,46.45709667
MSTRG.1089.1,-0.042637771,366.3148452,269.4055329,364.937097,268.9234153,397.7762282,304.8168898,0.205346451,0.16656199,0.205346451,0.205346451,0.16656199,4.869818773,6.00377072
MSTRG.1103.1,0.080848524,2926.374929,2885.123083,3019.211983,3030.633382,3116.557438,3192.520509,0.026016208,0.02333164,0.026016208,0.026016208,0.02333164,38.43757778,42.86025301
MSTRG.1106.1,0.601619518,11.60273265,33.43685692,32.89573832,41.95968181,36.68809872,39.61276762,0.479346271,0.479346271,0.066997736,0.479346271,0.066997736,2.086174567,14.92587746
MSTRG.1107.1,-0.034623822,1610.293539,1486.507125,1543.015726,1516.27032,1605.587057,1407.931758,0.065552775,0.040069193,0.065552775,0.065552775,0.040069193,15.25488431,24.95682893
MSTRG.1109.1,-0.070995113,54702.74063,53869.64252,49409.39896,51830.69696,48599.17961,49965.79943,0.054049207,0.054049207,0.032357618,0.054049207,0.032357618,18.50165889,30.90462324
MSTRG.1111.1,-0.000155321,241.9998525,268.4501941,273.4458248,237.4536539,252.9547859,293.4030415,0.110562779,0.064672543,0.110562779,0.110562779,0.064672543,9.044635191,15.46251245
MSTRG.1117.1,-0.201834825,262.719018,249.3434188,272.417833,247.9435743,162.2000154,271.9181506,0.253719883,0.044306763,0.253719883,0.253719883,0.044306763,3.941354484,22.56991765
MSTRG.1119.1,-0.315155801,1383.211486,1349.893681,1020.79588,962.2117943,1092.919151,962.1202712,0.160086768,0.160086768,0.075058744,0.160086768,0.075058744,6.246612463,13.32289819
MSTRG.1120.1,0.423563223,18907.48163,17025.09221,14489.54474,17115.73566,36050.88437,14461.34579,0.52227717,0.131906449,0.52227717,0.52227717,0.131906449,1.914692156,7.58113046
MSTRG.1125.1,-0.027745539,12836.76615,12169.10524,12248.52257,12248.41257,12380.30236,11916.05762,0.029369676,0.029369676,0.01963842,0.029369676,0.01963842,34.0487245,50.92059368
MSTRG.1126.1,-0.107676365,331.5066473,293.2890021,358.7691461,303.254064,312.8143154,296.7600557,0.100326247,0.100326247,0.026540973,0.100326247,0.026540973,9.967481407,37.6775943
MSTRG.113.1,0.233630936,33.15066473,60.18634246,57.56754206,56.26411879,62.75595833,58.41204717,0.296426011,0.296426011,0.055918449,0.296426011,0.055918449,3.373523116,17.88318543
MSTRG.1133.1,-0.340732817,279.2943503,285.646292,295.0336531,205.9838925,239.4381179,233.6481887,0.078987383,0.027622748,0.078987383,0.078987383,0.027622748,12.66024987,36.20204643
MSTRG.1136.1,0.067500359,2022.190548,1825.652388,1904.868847,2118.010302,1946.400185,1963.85331,0.051566719,0.051566719,0.04700104,0.051566719,0.04700104,19.39235266,21.27612509
MSTRG.1138.1,-0.00377493,96.96569433,78.33777907,94.57524767,135.4153368,66.61786346,67.1402841,0.441019948,0.112667155,0.441019948,0.441019948,0.112667155,2.267471128,8.875701198
MSTRG.1153.1,0.020635459,46.41093062,97.44455446,82.2393458,62.93952272,87.85834166,78.5541324,0.34766978,0.34766978,0.16470589,0.34766978,0.16470589,2.876292557,6.071428292
MSTRG.1156.1,0.231577483,101.938294,92.66786061,148.0308224,166.8850981,122.6154878,112.7956773,0.259623513,0.259623513,0.214880402,0.259623513,0.214880402,3.851731256,4.653751533
MSTRG.1169.1,0.20348664,151.6642911,159.5415745,136.7229124,185.9576808,229.7833551,100.0390233,0.38388674,0.077624869,0.38388674,0.38388674,0.077624869,2.60493499,12.88246942
MSTRG.1171.1,-0.026955626,1163.588332,1188.441429,1335.361377,1229.227951,1229.051307,1160.855512,0.075528354,0.075528354,0.032679595,0.075528354,0.032679595,13.24006073,30.60013488
MSTRG.1172.1,0.48698665,2724.984641,2068.308435,3947.488599,3340.56285,4120.652772,4789.116465,0.327321572,0.327321572,0.177544563,0.327321572,0.177544563,3.055099591,5.632388767
MSTRG.1175.1,-0.075638009,511.3490034,434.67914,322.7894323,472.0464204,386.1905128,345.7724631,0.224208138,0.224208138,0.160675903,0.224208138,0.160675903,4.460141416,6.22370861
MSTRG.1177.1,-0.072570232,61274.03115,58375.02015,53405.20317,53997.34235,55755.28981,54811.98514,0.068988225,0.068988225,0.016037921,0.068988225,0.016037921,14.49522717,62.35222235
MSTRG.1179.1,0.258210458,156.6368908,122.2833625,120.2750432,176.4213894,166.0619205,134.951971,0.1535974,0.1535974,0.135616074,0.1535974,0.135616074,6.510526876,7.373757203
MSTRG.118.1,-0.233114485,141.7190917,180.5590274,168.5906589,122.0645289,183.4404936,112.1242745,0.277466376,0.121564872,0.277466376,0.277466376,0.121564872,3.604040292,8.226060546
MSTRG.1190.1,0.255468868,3705.41555,471.937352,3633.951093,1416.139261,3956.521804,3951.877122,0.709189625,0.709189625,0.47145013,0.709189625,0.47145013,1.41006011,2.121115121
MSTRG.1193.1,-0.107310039,27643.51055,27138.30842,25609.33228,23644.2807,25617.94767,25366.27074,0.043183512,0.039525125,0.043183512,0.043183512,0.039525125,23.15698662,25.30036253
MSTRG.1194.1,1.456854689,3.315066473,7.642710153,14.39188552,6.675403925,27.99881218,34.91294773,0.660641939,0.660641939,0.634546464,0.660641939,0.634546464,1.513679258,1.575928725
MSTRG.120.1,-0.168370299,34.80819796,16.24075908,25.69979556,20.02621177,32.82619359,15.44226534,0.39577372,0.362909008,0.39577372,0.39577372,0.362909008,2.526696317,2.755511654
MSTRG.1201.1,-0.297541229,52.21229695,40.12422831,61.67950935,48.63508574,35.72262243,40.9555733,0.2104488,0.2104488,0.155484234,0.2104488,0.155484234,4.751749603,6.431520251
MSTRG.1204.1,-0.06816489,58.84242989,40.12422831,89.43528856,41.95968181,75.30715,62.44046422,0.396376246,0.396376246,0.280756295,0.396376246,0.280756295,2.52285552,3.561807943
MSTRG.1205.1,0.408657274,50.55476371,48.72227723,74.01541122,31.46976136,120.6845353,77.88272956,0.581900664,0.244161773,0.581900664,0.581900664,0.244161773,1.718506373,4.095645227
MSTRG.1206.2,-0.103869727,72.9314624,54.45430984,147.0028306,60.07863532,111.9952487,83.25395229,0.535498506,0.535498506,0.305583444,0.535498506,0.305583444,1.867418844,3.272428593
MSTRG.1213.1,-0.031393973,720.1981912,734.6555135,752.4900141,684.7057169,754.0369763,721.0866513,0.048170157,0.021983868,0.048170157,0.048170157,0.021983868,20.75974141,45.48790049
MSTRG.122.1,0.080024787,891.7528812,856.9388759,815.1975153,941.2319534,838.9988891,929.8929348,0.062032439,0.044849695,0.062032439,0.062032439,0.044849695,16.12059792,22.29669545
MSTRG.1222.1,-0.773470542,30.66436487,46.81159969,55.51155842,35.28427789,18.34404936,24.17050228,0.331876611,0.284422955,0.331876611,0.331876611,0.284422955,3.01316805,3.515890622
MSTRG.1225.1,-0.007315496,450.0202737,328.6365366,470.8202547,476.8145661,421.9131352,344.4296574,0.18438,0.18438,0.16050908,0.18438,0.16050908,5.423581728,6.230177152
MSTRG.1233.1,-0.227418908,137.5752586,82.15913415,134.6669288,100.1310589,89.78929423,112.7956773,0.264013153,0.264013153,0.114193348,0.264013153,0.114193348,3.787690072,8.757077523
MSTRG.1234.1,0.017313137,15351.24407,15023.65748,14266.47051,14784.11244,14759.23592,15636.97217,0.037390247,0.037390247,0.033182689,0.037390247,0.033182689,26.74494244,30.13619528
MSTRG.1238.1,-0.418029602,66.30132946,102.2212483,80.18336216,78.19758883,50.20476666,57.74064433,0.233447955,0.218494445,0.233447955,0.233447955,0.218494445,4.28361002,4.576775404
MSTRG.1242.1,-0.155704479,382.061411,396.4655892,426.6166064,308.9758388,379.4321788,393.4420648,0.125528209,0.056599005,0.125528209,0.125528209,0.056599005,7.966336891,17.66815508
MSTRG.1245.1,-0.287379725,137.5752586,114.6406523,116.1630759,99.17742974,87.85834166,114.8098858,0.134504267,0.104439399,0.134504267,0.134504267,0.104439399,7.434708352,9.574930662
MSTRG.1248.1,0.034493057,368.8011451,300.9317123,365.9650888,351.8891497,345.640509,363.228937,0.111205975,0.111205975,0.025216412,0.111205975,0.025216412,8.992322617,39.65671253
MSTRG.1251.1,-0.19563944,130.1163591,141.3901378,190.1784872,128.7399328,129.3738218,145.0230137,0.207440309,0.207440309,0.068637998,0.207440309,0.068637998,4.820663847,14.56918941
MSTRG.1253.1,0.123838512,39.78079767,18.15143661,68.87545211,43.86694008,47.30833782,46.99819887,0.602173315,0.602173315,0.041332581,0.602173315,0.041332581,1.660651469,24.1939889
MSTRG.1258.1,-0.112989537,140.0615585,128.9707338,189.1504953,148.7661446,133.2357269,141.6659995,0.209699494,0.209699494,0.055052769,0.209699494,0.055052769,4.768728712,18.16439064
MSTRG.1261.1,-0.074291721,4351.024746,4352.523432,4373.077213,4481.103292,3912.109895,4027.07424,0.072670634,0.002826915,0.072670634,0.072670634,0.002826915,13.76071661,353.7424862
MSTRG.1262.1,0.169391037,43.09586415,59.23100369,44.20364837,57.21774793,51.17024295,56.39783865,0.184525523,0.184525523,0.059724012,0.184525523,0.059724012,5.419304502,16.74368414
MSTRG.1271.1,-0.147505461,17.40409898,31.52617938,28.78377103,24.79435743,14.48214423,30.88453069,0.354524265,0.289072604,0.354524265,0.354524265,0.289072604,2.820681402,3.459338545
MSTRG.1273.1,-0.331881458,67.95886269,59.23100369,89.43528856,59.12500619,57.92857692,55.05503296,0.215267017,0.215267017,0.036461592,0.215267017,0.036461592,4.645393495,27.42611993
MSTRG.1275.1,0.202938248,59.67119651,29.61550184,18.50385281,54.35686053,41.51548013,28.19891932,0.592753586,0.592753586,0.316262362,0.592753586,0.316262362,1.687041671,3.161931736
MSTRG.1278.1,-0.213918755,16.57533236,25.79414677,21.58782827,20.97984091,17.37857308,16.78507103,0.216485588,0.216485588,0.123496141,0.216485588,0.123496141,4.619245146,8.097419013
MSTRG.1280.1,0.041987551,4890.551814,5269.648651,5479.196414,5379.421934,5398.943369,5322.881724,0.05723319,0.05723319,0.007360368,0.05723319,0.007360368,17.47237924,135.8627634
MSTRG.1288.1,-0.184211862,561.0750005,582.7566492,643.5228809,565.5020753,587.9750557,419.6267756,0.174308593,0.071737425,0.174308593,0.174308593,0.071737425,5.736951818,13.93972532
MSTRG.129.1,-0.137520462,403.6093431,374.4927975,315.5934895,274.64519,345.640509,373.9713824,0.154389085,0.122995515,0.154389085,0.154389085,0.122995515,6.477141841,8.13037774
MSTRG.1292.1,-0.213271409,293.3833828,258.8968064,299.1456204,244.1290578,245.2309756,245.062037,0.076691746,0.076691746,0.002424217,0.076691746,0.002424217,13.03921287,412.5042475
MSTRG.1296.1,0.226290787,141.7190917,95.53387692,136.7229124,118.2500124,195.026209,124.2095256,0.2928813,0.203324703,0.2928813,0.2928813,0.203324703,3.414352503,4.918241547
MSTRG.1301.1,0.20743821,237.0272528,230.2366434,319.7054568,314.6976136,316.6762205,277.2893733,0.189881922,0.189881922,0.073264424,0.189881922,0.073264424,5.266430778,13.6491894
MSTRG.1304.1,-0.311033236,72.9314624,106.9979421,62.70750117,64.84678098,58.8940532,71.84010399,0.286726546,0.286726546,0.099396064,0.286726546,0.099396064,3.487643595,10.06076051
MSTRG.1309.1,-0.211631018,278.4655837,237.8793535,178.8705771,164.0242107,266.4714538,169.8649188,0.287507407,0.216108555,0.287507407,0.287507407,0.216108555,3.478171264,4.627304084
MSTRG.1317.1,0.251015895,369.6299117,298.065696,359.7971379,383.3589111,432.5333743,406.8701217,0.113261961,0.113261961,0.060343069,0.113261961,0.060343069,8.829089552,16.57191153
MSTRG.1321.1,-0.050681459,392.835377,337.2345855,337.1813178,341.3992293,315.7107442,373.2999796,0.090278233,0.090278233,0.083996882,0.090278233,0.083996882,11.07686718,11.90520381
MSTRG.1324.1,-0.229767473,1160.273265,1360.402407,1424.796666,909.762192,1241.602499,1213.224934,0.164011899,0.104887657,0.164011899,0.164011899,0.104887657,6.09711859,9.53401028
MSTRG.1326.1,-0.009329058,168.2396235,130.8814114,197.3744299,139.2298533,196.9571615,157.1082648,0.201398533,0.201398533,0.179723515,0.201398533,0.179723515,4.965279463,5.564102156
MSTRG.1328.1,-0.009132913,343.1093799,384.0461852,503.715993,386.2197985,428.6714692,408.2129273,0.203411337,0.203411337,0.052073546,0.203411337,0.052073546,4.916146844,19.20360855
MSTRG.133.1,-0.045516078,288.4107831,320.9938264,224.1022173,286.0887396,299.2976474,222.2343404,0.177456991,0.177456991,0.153087004,0.177456991,0.153087004,5.635168243,6.532233132
MSTRG.1334.1,0.693117953,142.5478583,61.14168123,116.1630759,227.9173626,136.1321558,153.0798478,0.389561375,0.389561375,0.28333661,0.389561375,0.28333661,2.566989602,3.529370953
MSTRG.1337.1,-0.029073794,2886.594131,3146.885906,3449.940556,3250.921711,3028.699097,3014.598756,0.089190473,0.089190473,0.042787343,0.089190473,0.042787343,11.21195985,23.37139753
MSTRG.1340.1,-0.253142633,158.2944241,205.3978354,219.99025,126.8326746,186.3369224,176.5789472,0.195486478,0.165726972,0.195486478,0.195486478,0.165726972,5.115443338,6.034020807
MSTRG.1344.1,0.006871392,649.7530287,607.5954572,645.5788646,648.4678098,623.6976782,639.8469075,0.036620409,0.036620409,0.01972941,0.036620409,0.01972941,27.30717708,50.68575174
MSTRG.1346.1,-0.19818694,397.8079767,525.436323,448.2044346,412.9214142,413.2238487,369.2715626,0.140616252,0.140616252,0.06346492,0.140616252,0.06346492,7.111553527,15.7567362
MSTRG.1350.1,1.154598632,8.287666182,2.866016308,19.53184463,39.09879442,23.17143077,6.042625569,0.831083181,0.831083181,0.726000573,0.831083181,0.726000573,1.203248992,1.377409381
MSTRG.1354.1,-0.287142835,353.0545794,379.2694914,325.8734077,261.2943822,311.8488391,294.0744444,0.088717209,0.075693336,0.088717209,0.088717209,0.075693336,11.27177034,13.21120271
MSTRG.136.1,-0.268890157,1286.245791,1150.227878,1369.285108,946.0000991,1120.917963,1091.70102,0.088995015,0.087176722,0.088995015,0.088995015,0.087176722,11.2365844,11.47095201
MSTRG.1366.1,0.102652651,1088.17057,1347.983003,1360.033181,1295.028361,1312.082267,1469.029416,0.121384634,0.121384634,0.070593471,0.121384634,0.070593471,8.238275015,14.16561587
MSTRG.1371.1,-0.088288377,363.8285454,305.7084061,374.1890234,342.3528584,329.2274122,310.1881126,0.106096233,0.106096233,0.049419181,0.106096233,0.049419181,9.425405318,20.23505811
MSTRG.1373.1,-0.128391555,164.924557,213.9958843,207.6543482,164.0242107,171.8547782,200.7494495,0.136502874,0.136502874,0.108137553,0.136502874,0.108137553,7.325853061,9.247481318
MSTRG.1375.1,-0.076149122,82279.94986,76022.0379,70947.88362,72946.90683,72550.71521,71965.65632,0.07428133,0.07428133,0.006810051,0.07428133,0.006810051,13.46233296,146.8417812
MSTRG.1379.1,-0.0266381,171.55469,126.1047175,156.254757,145.9052572,141.9250135,157.7796676,0.152842484,0.152842484,0.055530901,0.152842484,0.055530901,6.542683513,18.00799167
MSTRG.1382.1,-0.014845634,166.5820903,157.6308969,121.3030351,159.2560651,131.3047744,150.3942364,0.161470709,0.161470709,0.097180693,0.161470709,0.097180693,6.193073676,10.29010975
MSTRG.1385.1,-0.010891322,275.9792839,256.9861289,231.2981601,264.1552696,236.5416891,257.818691,0.088021987,0.088021987,0.057209408,0.088021987,0.057209408,11.36079784,17.47964255
MSTRG.1389.1,0.020088127,638.150296,569.3819064,649.6908318,550.2440092,701.901257,631.1186706,0.120882528,0.070137036,0.120882528,0.120882528,0.070137036,8.272494131,14.2578025
MSTRG.139.1,-0.654511552,137.5752586,203.4871578,208.68234,135.4153368,93.65119936,120.1811085,0.216314071,0.216314071,0.181548466,0.216314071,0.181548466,4.622907764,5.508171038
MSTRG.1397.1,-0.114366704,644.780429,652.4963793,686.6985375,632.2561146,621.7667256,578.749249,0.046410794,0.033735494,0.046410794,0.046410794,0.033735494,21.54671193,29.64236976
MSTRG.140.1,-0.445313663,353.883346,284.6909532,356.7131624,225.0564752,256.816691,249.090454,0.122948475,0.122948475,0.067978225,0.122948475,0.067978225,8.133488469,14.71059302
MSTRG.1401.1,0.04720077,677.9310937,744.2089012,741.182104,719.9899947,749.2095948,766.0706416,0.051895688,0.051895688,0.031291378,0.051895688,0.031291378,19.26942358,31.95768542
MSTRG.1409.1,0.026517795,255.2601184,204.4424966,214.8502909,205.0302634,273.2297878,208.8062836,0.167370283,0.119387193,0.167370283,0.167370283,0.119387193,5.974776297,8.376107813
MSTRG.1410.1,0.127646574,2937.977662,4000.958765,631.186979,3731.550794,703.8322096,3835.053028,0.68270464,0.68270464,0.645196577,0.68270464,0.645196577,1.464762273,1.549915228
MSTRG.1412.1,-0.371507842,479.8558719,350.6093283,438.9525082,304.2076931,344.6750327,332.3444063,0.156115038,0.156115038,0.063415787,0.156115038,0.063415787,6.405532822,15.76894407
